jobid,k_opt,MAE_adj,Med_Abs_Err,scenario
1,37.0,0.342157786737453,0.354891100210911,Proposed
1,35.0,0.322052236793953,0.315548271902623,Oracle
1,,0.298572693207922,0.323455699083069,GAM
2,52.0,0.255774209990834,0.233847793425564,Proposed
2,54.0,0.263418839812019,0.229321017975184,Oracle
2,,0.191748934340033,0.205937565186599,GAM
3,33.0,0.264291055022649,0.254153061767697,Proposed
3,37.0,0.226464015508644,0.244437741275419,Oracle
3,,0.213681246418755,0.190819426007259,GAM
4,44.0,0.272003585679718,0.261849744048758,Proposed
4,41.0,0.255451252114573,0.214666890874059,Oracle
4,,0.220651628833128,0.174947722248927,GAM
5,44.0,0.226577578246666,0.178387950806301,Proposed
5,41.0,0.217501764737385,0.182761499533231,Oracle
5,,0.220916671483449,0.211342314815008,GAM
6,46.0,0.270155922973897,0.269713999421776,Proposed
6,43.0,0.279414976628601,0.258256789757076,Oracle
6,,0.261416655922484,0.260195578276949,GAM
7,50.0,0.239073291207747,0.191651234303869,Proposed
7,54.0,0.254564765086564,0.197294386943766,Oracle
7,,0.248830428922596,0.198745180977592,GAM
8,53.0,0.243462619281609,0.212247371182403,Proposed
8,50.0,0.224468527636181,0.197312463204978,Oracle
8,,0.176283032943805,0.16157668593529,GAM
9,53.0,0.336614197852487,0.355386291096641,Proposed
9,50.0,0.29948272636589,0.315121622209289,Oracle
9,,0.254052086364714,0.235775321049919,GAM
10,43.0,0.267215307953819,0.262758946116375,Proposed
10,47.0,0.291349375001588,0.257302211790123,Oracle
10,,0.272386919975111,0.248439723405351,GAM
11,50.0,0.299696305565804,0.292071361146807,Proposed
11,48.0,0.303312971424907,0.261220363272292,Oracle
11,,0.227879167378821,0.192827125007802,GAM
12,34.0,0.259205892028031,0.225415287222276,Proposed
12,32.0,0.273275152571733,0.22652077321397,Oracle
12,,0.32083364950151,0.269178635826615,GAM
13,46.0,0.296437246194692,0.230575225753037,Proposed
13,49.0,0.318973053082604,0.254457715394145,Oracle
13,,0.269553297657275,0.190964090861838,GAM
14,41.0,0.283948945564089,0.24364835297058,Proposed
14,39.0,0.280693563174478,0.290314521810004,Oracle
14,,0.220629510202559,0.243259705810812,GAM
15,50.0,0.352134811784986,0.31360492462227,Proposed
15,49.0,0.353038951802115,0.296240752584561,Oracle
15,,0.308555162846437,0.280774844199504,GAM
16,38.0,0.303133284754101,0.293982885920405,Proposed
16,41.0,0.262175914552463,0.239124436751717,Oracle
16,,0.358598792835905,0.24451318236284,GAM
17,34.0,0.22301967971288,0.235799078815748,Proposed
17,33.0,0.239589724431055,0.277454683615524,Oracle
17,,0.232196982494674,0.251192549128874,GAM
18,44.0,0.315750114727435,0.276773645568044,Proposed
18,43.0,0.321479783318666,0.275204508952987,Oracle
18,,0.328111061915242,0.301881604242886,GAM
19,37.0,0.241190509107514,0.230720248873864,Proposed
19,38.0,0.238198986844814,0.238007405597412,Oracle
19,,0.215690543013512,0.213915159675019,GAM
20,31.0,0.384117619133647,0.398146090590395,Proposed
20,34.0,0.376660123478168,0.386710088175817,Oracle
20,,0.390704753367099,0.385221279056652,GAM
21,38.0,0.240147335024927,0.171841515052515,Proposed
21,37.0,0.250493847495936,0.1600759990291,Oracle
21,,0.244249592075711,0.168448422471946,GAM
22,32.0,0.304808650723628,0.296853421406838,Proposed
22,34.0,0.268350598503815,0.299626248099072,Oracle
22,,0.263746330051324,0.247678364623627,GAM
23,34.0,0.327996244953954,0.293252622377359,Proposed
23,35.0,0.338571222239439,0.273815904902183,Oracle
23,,0.289539288596091,0.23956410598373,GAM
24,41.0,0.205233408888571,0.207268340594387,Proposed
24,42.0,0.198717994300917,0.19315458632853,Oracle
24,,0.176431312254606,0.139885438198498,GAM
25,52.0,0.404483732582835,0.324382236227704,Proposed
25,55.0,0.448933146617127,0.286519053346376,Oracle
25,,0.22474130128822,0.161209779357289,GAM
26,51.0,0.332680534959936,0.254737634048197,Proposed
26,55.0,0.371844505262545,0.233512688122758,Oracle
26,,0.263507019436297,0.221712823745701,GAM
27,34.0,0.296901985025265,0.239844740923301,Proposed
27,37.0,0.332678339946471,0.251547063214696,Oracle
27,,0.272787428943839,0.226431100592485,GAM
28,40.0,0.323352993236495,0.276323008669517,Proposed
28,41.0,0.30625338157758,0.28529021152334,Oracle
28,,0.26439007743562,0.225214408158325,GAM
29,38.0,0.340307116687456,0.284487136835489,Proposed
29,37.0,0.329300058468984,0.286926086344229,Oracle
29,,0.248777050398128,0.218575760734212,GAM
30,25.0,0.382378824086516,0.389270685950867,Proposed
30,27.0,0.382280260153692,0.399654396411131,Oracle
30,,0.597209378886383,0.511159721151208,GAM
31,33.0,0.32628334547474,0.269120183796499,Proposed
31,36.0,0.337616816133267,0.257505578804405,Oracle
31,,0.344297241619611,0.29836416721062,GAM
32,52.0,0.257531554960344,0.26020533862794,Proposed
32,55.0,0.286403264070542,0.283308589733219,Oracle
32,,0.227715748896871,0.210568066331611,GAM
33,41.0,0.232811955870002,0.198891035594714,Proposed
33,40.0,0.252601343606208,0.213857989643022,Oracle
33,,0.210108455417221,0.175296270578939,GAM
34,39.0,0.303214166775425,0.246727297723855,Proposed
34,38.0,0.281333492224267,0.231179618453808,Oracle
34,,0.234367113055043,0.176395454866745,GAM
35,41.0,0.283994909665303,0.264191873099993,Proposed
35,44.0,0.296868259418725,0.228163780974232,Oracle
35,,0.331287026559644,0.271123929818097,GAM
36,29.0,0.314584421254961,0.310453577587205,Proposed
36,32.0,0.297871724844648,0.296879419043893,Oracle
36,,0.361247067823989,0.290230162526901,GAM
37,46.0,0.256940068639227,0.259560354554908,Proposed
37,50.0,0.267787987808741,0.273685294352669,Oracle
37,,0.261062458353835,0.243442940307449,GAM
38,43.0,0.219612044925242,0.198606947646816,Proposed
38,39.0,0.218423330583932,0.183531578865823,Oracle
38,,0.19900665555025,0.175879523525883,GAM
39,45.0,0.22115783050999,0.200550031343213,Proposed
39,47.0,0.204449053139891,0.185872165849196,Oracle
39,,0.151412234861481,0.137408658009484,GAM
40,43.0,0.274828425911935,0.220223702599203,Proposed
40,36.0,0.256350073265741,0.211161867153286,Oracle
40,,0.217489111644609,0.201311316549865,GAM
41,43.0,0.238120265324636,0.228393858628948,Proposed
41,43.0,0.245282949542886,0.230154185711595,Oracle
41,,0.206389138138133,0.178171039962317,GAM
42,45.0,0.401820061130667,0.231637405583224,Proposed
42,40.0,0.393730080184624,0.249467029943889,Oracle
42,,0.385992671151303,0.207171675028351,GAM
43,55.0,0.329805650113832,0.344645451730875,Proposed
43,54.0,0.335966750739239,0.31603111782999,Oracle
43,,0.247415354118663,0.236837282722185,GAM
44,27.0,0.321504077173706,0.255895066471613,Proposed
44,39.0,0.224069964539375,0.203716646283051,Oracle
44,,0.486017275222862,0.441207051178117,GAM
45,15.0,0.279568934207565,0.225121592960872,Proposed
45,18.0,0.250578270103407,0.224245503388708,Oracle
45,,0.975480602336781,0.851491376946666,GAM
46,46.0,0.250867604802582,0.302414165139053,Proposed
46,43.0,0.238950039706033,0.252317047992787,Oracle
46,,0.195983930821835,0.213819977592173,GAM
47,48.0,0.30593514694968,0.326390881057411,Proposed
47,45.0,0.32572440396425,0.355119917511117,Oracle
47,,0.37029905382179,0.331051848259914,GAM
