jobid,k_opt,k1_opt,k2_opt,MAE_adj,Med_Abs_Err,scenario
1,18,15,20,11.1911481462353,10.0196740737731,Proposed
1,16,12,17,4.99319372935313,4.46750304917296,Oracle
2,15,11,15,6.11822661875299,4.35353500764322,Proposed
2,14,11,13,5.22624044509547,3.68391007773475,Oracle
3,31,24,34,5.06093098056142,4.45570243220081,Proposed
3,29,22,31,5.84304289037607,5.10869480580925,Oracle
4,32,26,38,5.47690408881158,4.20855754294618,Proposed
4,29,24,34,6.04894712789411,5.343838999977,Oracle
5,25,22,30,5.89684968360807,5.5044571656845,Proposed
5,25,21,30,6.18479011360569,4.82001593088869,Oracle
6,24,20,29,4.77720582031672,3.68158670586668,Proposed
6,29,25,37,3.7268444678976,3.23485898869499,Oracle
7,37,28,39,5.92630652493334,5.08000147577847,Proposed
7,35,27,38,6.10753580368172,5.02670199502591,Oracle
8,23,18,26,9.75745065239622,7.57018829159975,Proposed
8,21,19,27,9.48848909718478,6.02735300819998,Oracle
9,27,21,29,7.77186394104768,6.34099397737258,Proposed
9,25,19,26,9.15830337651839,7.45240884362838,Oracle
10,27,21,30,4.05562305860091,3.09134505928862,Proposed
10,28,23,34,3.51875606087059,2.96061790645659,Oracle
11,21,18,24,6.80675882462704,6.35099101308078,Proposed
11,27,20,28,5.55725581226512,3.96370446696002,Oracle
12,27,20,27,7.92328479833563,6.06328312507944,Proposed
12,25,19,26,2.5960552563959,2.09115494928336,Oracle
13,19,14,18,11.3254047590004,9.55370188986157,Proposed
13,19,12,17,11.5096196789082,9.29794045857331,Oracle
14,23,18,25,6.76090736848433,5.15794111922246,Proposed
14,22,15,21,9.98850720811163,6.54457570919004,Oracle
15,28,23,33,4.22264454579837,3.58019586034834,Proposed
15,29,24,33,3.83978104971042,2.89072075287451,Oracle
16,35,26,36,4.40770089168652,3.94033298836922,Proposed
16,36,27,39,4.23574643588342,2.98848534854724,Oracle
17,15,11,16,5.23949815044321,4.23498103176856,Proposed
17,15,11,15,5.18477964874569,4.00509405686047,Oracle
18,16,12,16,6.04977959401171,4.11929041508582,Proposed
18,17,12,16,4.91821671855529,3.72898181371977,Oracle
19,26,25,35,4.88125457197595,3.45880416127706,Proposed
19,23,25,35,3.56634024748135,2.78311177557914,Oracle
20,23,16,22,9.42972269522019,8.89580089190003,Proposed
